|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
|  1 | 119.07 | 235.58 | 272.69 | 356.11 | 455.66 | 543.56 | 548.18 | 606.77 | 747.99 |  812.0 | 874.97 |  988.4 | 1026.5 | 1028.7 | 1126.0 | 1332.6 | 1372.0 | 1413.6 | 1514.1 | 1677.1 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 10 | 116.62 | 222.42 | 255.87 | 337.58 | 398.81 | 476.89 | 493.31 | 543.66 |  639.5 | 675.64 | 721.15 | 774.59 | 833.48 | 881.06 | 942.57 | 947.87 | 1016.5 | 1130.0 | 1147.9 | 1159.2 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 11 | 116.61 |  222.4 | 255.84 | 337.55 | 398.71 | 476.78 | 493.22 | 543.56 | 639.23 | 675.52 | 720.91 | 774.29 | 833.21 | 880.82 | 941.97 | 947.61 | 1015.9 | 1129.7 | 1147.2 | 1158.7 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 12 | 116.61 | 222.38 | 255.82 | 337.53 | 398.65 | 476.68 | 493.17 | 543.48 | 639.06 | 675.43 | 720.76 | 774.01 | 832.95 | 880.67 | 941.56 | 947.38 | 1015.5 | 1129.5 | 1146.6 | 1158.4 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 13 |  116.6 | 222.37 |  255.8 | 337.51 | 398.59 | 476.62 | 493.12 | 543.42 | 638.89 | 675.36 | 720.61 | 773.83 | 832.79 | 880.53 |  941.2 | 947.22 | 1015.2 | 1129.3 | 1146.2 | 1158.0 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 14 |  116.6 | 222.36 | 255.78 | 337.49 | 398.55 | 476.56 | 493.07 | 543.37 | 638.76 |  675.3 | 720.49 | 773.67 | 832.64 | 880.41 | 940.91 | 947.08 | 1014.9 | 1129.1 | 1145.8 | 1157.8 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 15 |  116.6 | 222.35 | 255.77 | 337.48 | 398.51 | 476.52 | 493.05 | 543.33 | 638.66 | 675.26 | 720.41 | 773.55 | 832.53 | 880.33 | 940.67 | 946.98 | 1014.7 | 1129.0 | 1145.6 | 1157.6 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 16 |  116.6 | 222.34 | 255.76 | 337.47 | 398.48 | 476.48 | 493.02 | 543.29 | 638.58 | 675.22 | 720.33 | 773.44 | 832.43 | 880.25 | 940.48 | 946.89 | 1014.6 | 1128.9 | 1145.3 | 1157.4 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 17 |  116.6 | 222.34 | 255.76 | 337.46 | 398.46 | 476.44 |  493.0 | 543.27 | 638.51 | 675.19 | 720.27 | 773.35 | 832.35 |  880.2 | 940.33 | 946.82 | 1014.4 | 1128.8 | 1145.1 | 1157.3 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 18 |  116.6 | 222.33 | 255.75 | 337.45 | 398.44 | 476.42 | 492.98 | 543.24 | 638.45 | 675.16 | 720.22 | 773.27 | 832.28 | 880.15 |  940.2 | 946.75 | 1014.3 | 1128.7 | 1144.9 | 1157.2 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 19 |  116.6 | 222.33 | 255.74 | 337.45 | 398.42 |  476.4 | 492.96 | 543.22 |  638.4 | 675.14 | 720.17 | 773.21 | 832.23 |  880.1 | 940.08 |  946.7 | 1014.2 | 1128.7 | 1144.8 | 1157.1 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
|  2 | 117.26 | 225.77 | 260.14 | 342.39 | 412.53 | 494.11 | 505.73 | 559.15 | 678.63 | 693.91 | 756.36 | 823.15 | 878.14 | 915.97 | 990.07 | 1032.9 | 1100.3 | 1180.1 | 1236.4 | 1259.5 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 20 |  116.6 | 222.32 | 255.74 | 337.44 |  398.4 | 476.38 | 492.95 | 543.21 | 638.36 | 675.12 | 720.14 | 773.16 | 832.19 | 880.07 | 939.99 | 946.66 | 1014.1 | 1128.6 | 1144.7 | 1157.0 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 21 |  116.6 | 222.32 | 255.74 | 337.44 | 398.39 | 476.36 | 492.94 |  543.2 | 638.32 | 675.11 | 720.11 | 773.12 | 832.14 | 880.04 | 939.91 | 946.62 | 1014.0 | 1128.6 | 1144.6 | 1157.0 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| 22 | 116.59 | 222.32 | 255.73 | 337.44 | 398.38 | 476.35 | 492.93 | 543.19 | 638.29 |  675.1 | 720.08 | 773.08 | 832.11 | 880.02 | 939.84 |  946.6 | 1014.0 | 1128.5 | 1144.5 | 1156.9 |
|----|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
